date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:28	905/905	---M-Z	200	added ('OK')	text/html	etag:%22389-56c5797d7a540-gzip%22	http://bonjourbebe.pl/	bonjourbebe.pl/index.html	(from )
15:19:30	1068/1068	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202019%2019:19:27%20GMT	http://bonjourbebe.pl/robots.txt		(from )
15:19:30	2195/2195	---M-Z	200	added ('OK')	text/css	etag:%22893-55cd27c2154c0-gzip%22	http://bonjourbebe.pl/css/style.css	bonjourbebe.pl/css/style.css	(from http://bonjourbebe.pl/)
15:19:33	39645/39645	---M--	200	added ('OK')	image/png	etag:%229add-55cd27caaa900%22	http://bonjourbebe.pl/images/logo-pink.png	bonjourbebe.pl/images/logo-pink.png	(from http://bonjourbebe.pl/)
15:19:33	3846/3846	---M-Z	200	added ('OK')	text/html	etag:%22f06-55a4fe137ccc0-gzip%22	http://bonjourbebe.pl/1/index.html	bonjourbebe.pl/1/index.html	(from http://bonjourbebe.pl/)
15:19:35	3846/3846	---M-Z	200	added ('OK')	text/html	etag:%22f06-55d7b1843a440-gzip%22	http://bonjourbebe.pl/2/index.html	bonjourbebe.pl/2/index.html	(from http://bonjourbebe.pl/)
15:19:37	42667/42667	---M--	200	added ('OK')	image/png	etag:%22a6ab-55cd27caaa900%22	http://bonjourbebe.pl/images/logo-blue.png	bonjourbebe.pl/images/logo-blue.png	(from http://bonjourbebe.pl/)
15:19:41	56097/56097	---M--	200	added ('OK')	image/jpeg	etag:%22db21-55cd27c9b66c0%22	http://bonjourbebe.pl/images/duo-bg.jpg	bonjourbebe.pl/images/duo-bg.jpg	(from http://bonjourbebe.pl/css/style.css)
15:19:41	1227/1227	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202019%2019:19:37%20GMT	http://bonjourbebe.pl/1/style/icon.ico	bonjourbebe.pl/1/style/icon.6.delayed	(from http://bonjourbebe.pl/1/index.html)
15:19:41	7129/7129	---M-Z	200	added ('OK')	text/css	etag:%221bd9-55a4fe32f5700-gzip%22	http://bonjourbebe.pl/1/style/style.css	bonjourbebe.pl/1/style/style.css	(from http://bonjourbebe.pl/1/index.html)
15:19:42	4191/4191	---M-Z	200	added ('OK')	text/css	etag:%22105f-55a4fe32f5700-gzip%22	http://bonjourbebe.pl/1/style/lightbox.css	bonjourbebe.pl/1/style/lightbox.css	(from http://bonjourbebe.pl/1/index.html)
